cwnd:vector Network_three_routers.client.tcp.conn-14 (#0 - WS_enabled-0-20200805-20:00:33-23494),,cwnd:vector Network_three_routers.other_client.tcp.conn-15 (#0 - WS_enabled-0-20200805-20:00:33-23494),
0.023711872,211992,2.404003782764,23133
0.023831792,213444,2.404123702764,23224
0.023951712,214896,2.404243622764,23314
0.024071632,216348,2.404363542764,23404
0.024191552,217800,2.404483462764,23494
0.024311472,219252,2.404603382764,23583
0.024431392,220704,2.404723302764,23672
0.024551312,222156,2.404843222764,23761
0.024671232,223608,2.404963142764,23849
0.024791152,225060,2.405083062764,23937
0.024911072,226512,2.405202982764,24025
0.025030992,227964,2.405322902764,24112
0.025150912,229416,2.405442822764,24199
0.025270832,230868,2.405562742764,24286
0.025390752,232320,2.405682662764,24372
0.025510672,233772,2.405802582764,24458
0.025630592,235224,2.405922502764,24544
0.025750512,236676,2.406042422764,24629
0.025870432,238128,2.406162342764,24714
0.025990352,239580,2.406282262764,24799
0.026110272,241032,2.406402182764,24884
0.026230192,242484,2.406522102764,24968
0.026350112,243936,2.406642022764,25052
0.026470032,245388,2.406761942764,25136
0.026589952,246840,2.406881862764,25219
0.026709872,248292,2.407001782764,25302
0.026829792,249744,2.407121702764,25385
0.026949712,251196,2.407241622764,25468
0.027069632,252648,2.407361542764,25550
0.027189552,254100,2.407481462764,25632
0.027309472,255552,2.407601382764,25714
0.027429392,257004,2.407721302764,25795
0.027549312,258456,2.407841222764,25876
0.027669232,259908,2.407961142764,25957
0.027789152,261360,2.408081062764,26038
0.027909072,262812,2.408200982764,26118
0.028028992,264264,2.408320902764,26198
0.028148912,265716,2.408440822764,26278
0.028268832,267168,2.408560742764,26358
0.028388752,268620,2.408680662764,26437
0.028508672,270072,2.408800582764,26516
0.028628592,271524,2.408920502764,26595
0.028748512,272976,2.409040422764,26674
0.028868432,274428,2.409160342764,26753
0.028988352,275880,2.409280262764,26831
0.029108272,277332,2.409400182764,26909
0.029228192,278784,2.409520102764,26987
0.029348112,280236,2.409640022764,27065
0.029468032,281688,2.409759942764,27142
0.029587952,283140,2.409879862764,27219
0.029707872,284592,2.409999782764,27296
0.029827792,286044,2.410119702764,27373
0.029947712,287496,2.410239622764,27450
0.030067632,288948,2.410359542764,27526
0.030187552,290400,2.410479462764,27602
0.030307472,291852,2.410599382764,27678
0.030427392,293304,2.410719302764,27754
0.030547312,294756,2.410839222764,27829
0.030667232,296208,2.410959142764,27904
0.030787152,297660,2.411079062764,27979
0.031146912,153186,2.411198982764,28054
0.031266832,154638,2.411318902764,28129
0.031386752,156090,2.411438822764,28203
0.031506672,157542,2.411558742764,28277
0.031626592,158994,2.411678662764,28351
0.031746512,160446,2.411798582764,28425
0.031866432,161898,2.411918502764,28499
0.031986352,163350,2.412038422764,28572
0.032106272,164802,2.412158342764,28645
0.032226192,166254,2.412278262764,28718
0.032346112,167706,2.412398182764,28791
0.032466032,169158,2.412518102764,28864
0.032585952,170610,2.412638022764,28937
0.032705872,172062,2.412757942764,29009
0.032825792,173514,2.412877862764,29081
0.032945712,174966,2.412997782764,29153
0.033065632,176418,2.413117702764,29225
0.033185552,177870,2.413237622764,29297
0.033305472,179322,2.413357542764,29368
0.033425392,180774,2.413477462764,29439
0.033545312,182226,2.413597382764,29510
0.033665232,183678,2.413717302764,29581
0.033785152,185130,2.413837222764,29652
0.033905072,186582,2.413957142764,29723
0.034024992,188034,2.414077062764,29793
0.034144912,189486,2.414196982764,29863
0.034264832,190938,2.414316902764,29933
0.034384752,192390,2.414436822764,30003
0.034504672,193842,2.414556742764,30073
0.034624592,195294,2.414676662764,30143
0.034744512,196746,2.414796582764,30212
0.034864432,198198,2.414916502764,30281
0.034984352,199650,2.415036422764,30350
0.035104272,201102,2.415156342764,30419
0.035224192,202554,2.415276262764,30488
0.035344112,204006,2.415396182764,30557
0.035464032,205458,2.415516102764,30625
0.035583952,206910,2.415636022764,30693
0.035703872,208362,2.415755942764,30761
0.035823792,209814,2.415875862764,30829
0.035943712,211266,2.415995782764,30897
0.036063632,212718,2.416115702764,30965
0.036183552,214170,2.416235622764,31033
0.036303472,215622,2.416355542764,31100
0.036423392,217074,2.416475462764,31167
0.036543312,218526,2.416595382764,31234
0.036663232,219978,2.416715302764,31301
0.036783152,221430,2.416835222764,31368
0.036903072,222882,2.416955142764,31435
0.037022992,224334,2.417075062764,31502
0.037142912,225786,2.417194982764,31568
0.037262832,227238,2.417314902764,31634
0.037382752,228690,2.417434822764,31700
0.037502672,230142,2.417554742764,31766
0.037622592,231594,2.417674662764,31832
0.037742512,233046,2.417794582764,31898
0.037862432,234498,2.417914502764,31964
0.037982352,235950,2.418034422764,32029
0.038102272,237402,2.418154342764,32094
0.038222192,238854,2.418274262764,32159
0.038342112,240306,2.418394182764,32224
0.038462032,241758,2.418514102764,32289
0.038581952,243210,2.418634022764,32354
0.038701872,244662,2.418753942764,32419
0.038821792,246114,2.418873862764,32484
0.038941712,247566,2.418993782764,32548
0.039061632,249018,2.419113702764,32612
0.039181552,250470,2.419233622764,32676
0.039301472,251922,2.419353542764,32740
0.039421392,253374,2.419473462764,32804
0.039541312,254826,2.419593382764,32868
0.039661232,256278,2.419713302764,32932
0.039781152,257730,2.419833222764,32996
0.039901072,259182,2.419953142764,33059
0.040020992,260634,2.420073062764,33122
0.040140912,262086,2.420192982764,33185
0.040260832,263538,2.420312902764,33248
0.040380752,264990,2.420432822764,33311
0.040500672,266442,2.420552742764,33374
0.040620592,267894,2.420672662764,33437
0.040740512,269346,2.420792582764,33500
0.040860432,270798,2.420912502764,33562
0.040980352,272250,2.421032422764,33624
0.041100272,273702,2.421152342764,33686
0.041220192,275154,2.421272262764,33748
0.041340112,276606,2.421392182764,33810
0.041460032,278058,2.421512102764,33872
0.041579952,279510,2.421632022764,33934
0.041699872,280962,2.421751942764,33996
0.041819792,282414,2.421871862764,34058
0.041939712,283866,2.421991782764,34119
0.042059632,285318,2.422111702764,34180
0.042179552,286770,2.422231622764,34241
0.042299472,288222,2.422351542764,34302
0.042419392,289674,2.422471462764,34363
0.042539312,291126,2.422591382764,34424
0.042659232,292578,2.422711302764,34485
0.042779152,294030,2.422831222764,34546
0.042899072,295482,2.422951142764,34607
